nodes;total_cores;mpi_num_procs;omp_num_threads;split;read_pfb[sec];SubsurfaceStorage[sec];SubsurfaceStorage_vectorized[sec];TopLayerPressure[sec];TopLayerPressure_vectorized[sec];SurfaceStorage[sec];VolumetricMoisture[sec];OverlandFlow[sec];NetLateralOverlandFlow[sec];NetLateralOverlandFlow_vectorized[sec];SubsurfaceFlow[sec];SubsurfaceFlow_vectorized[sec]
1;48;1;48;-1;12.025893449783325;1.187363624572754;0.922703742980957;1.3249006271362305;0.3066384792327881;0.17314648628234863;0.1447162628173828;0.8306975364685059;2.384185791015625e-07;2.384185791015625e-07;4.889147758483887;2.384185791015625e-07
1;48;2;24;-1;9.317791938781738;0.6304869651794434;0.4446694850921631;0.668189525604248;0.15460872650146484;0.08780384063720703;0.07252001762390137;0.4591805934906006;2.384185791015625e-07;2.384185791015625e-07;2.156891345977783;2.384185791015625e-07
1;48;1;48;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
1;48;2;24;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
