nodes;total_cores;mpi_num_procs;omp_num_threads;split;read_pfb[sec];SubsurfaceStorage[sec];SubsurfaceStorage_vectorized[sec];TopLayerPressure[sec];TopLayerPressure_vectorized[sec];SurfaceStorage[sec];VolumetricMoisture[sec];OverlandFlow[sec];NetLateralOverlandFlow[sec];NetLateralOverlandFlow_vectorized[sec];SubsurfaceFlow[sec];SubsurfaceFlow_vectorized[sec]
1;48;1;48;0;12.92207670211792;1.248114824295044;0.93837571144104;1.3346939086914062;0.31209564208984375;0.17650413513183594;0.1466672420501709;0.9274961948394775;2.384185791015625e-07;0.7170219421386719;3.9903433322906494;2.384185791015625e-07
1;48;2;24;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
1;48;1;48;-1;22.519659280776978;1.2443454265594482;0.9336564540863037;1.3331270217895508;0.3118610382080078;0.17745733261108398;0.1463770866394043;0.9248840808868408;2.384185791015625e-07;0.7167844772338867;3.952686309814453;0.0
1;48;2;24;-1;23.058529376983643;0.6462068557739258;0.46371006965637207;0.687321662902832;0.1587696075439453;0.09007406234741211;0.07457709312438965;0.5249412059783936;2.384185791015625e-07;0.448014497756958;2.2727816104888916;2.384185791015625e-07
2;96;2;48;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2;96;4;24;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2;96;2;48;-1;12.365347623825073;0.633314847946167;0.47495365142822266;0.6826038360595703;0.1600656509399414;0.0887594223022461;0.07370543479919434;0.4727625846862793;4.76837158203125e-07;0.4462904930114746;2.049931526184082;2.384185791015625e-07
2;96;4;24;-1;13.515219449996948;0.33203840255737305;0.23421931266784668;0.3507359027862549;0.08743906021118164;0.045281171798706055;0.03715181350708008;0.2610197067260742;2.384185791015625e-07;0.24952363967895508;1.149444580078125;2.384185791015625e-07
4;192;4;48;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;192;8;24;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;192;4;48;-1;16.161982536315918;0.33270907402038574;0.23874425888061523;0.34616613388061523;0.08441042900085449;0.04462289810180664;0.03643798828125;0.23849821090698242;2.384185791015625e-07;0.2657954692840576;1.0592553615570068;2.384185791015625e-07
4;192;8;24;-1;24.64218306541443;0.1779155731201172;0.12137508392333984;0.18675899505615234;0.04643654823303223;0.023437023162841797;0.018820762634277344;0.14685583114624023;2.384185791015625e-07;0.15417122840881348;0.605724573135376;2.384185791015625e-07
8;384;8;48;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;16;24;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;8;48;-1;18.871126174926758;0.1781613826751709;0.12210249900817871;0.18549227714538574;0.05461764335632324;0.023003339767456055;0.018449783325195312;0.1251225471496582;2.384185791015625e-07;0.15114331245422363;0.5431346893310547;4.76837158203125e-07
8;384;16;24;-1;20.538275957107544;0.12568235397338867;0.07079076766967773;0.10393476486206055;0.028753280639648438;0.011480093002319336;0.009536981582641602;0.0732121467590332;4.76837158203125e-07;0.14766144752502441;0.43874144554138184;2.384185791015625e-07
