nodes;total_cores;mpi_num_procs;omp_num_threads;split;read_pfb[sec];SubsurfaceStorage[sec];SubsurfaceStorage_vectorized[sec];TopLayerPressure[sec];TopLayerPressure_vectorized[sec];SurfaceStorage[sec];VolumetricMoisture[sec];OverlandFlow[sec];NetLateralOverlandFlow[sec];NetLateralOverlandFlow_vectorized[sec];SubsurfaceFlow[sec];SubsurfaceFlow_vectorized[sec]
1;48;1;48;-1;9.462257385253906;1.1808452606201172;0.9726254940032959;1.3114748001098633;0.3035097122192383;0.1719353199005127;0.14334392547607422;0.8220727443695068;2.384185791015625e-07;0.0;5.71872615814209;2.384185791015625e-07
1;48;2;24;-1;10.257773160934448;0.6525986194610596;0.45256567001342773;0.6699478626251221;0.15869522094726562;0.08778595924377441;0.0728139877319336;0.46941208839416504;2.384185791015625e-07;2.384185791015625e-07;2.2210865020751953;0.0
1;48;12;4;-1;28.22674536705017;0.6035366058349609;0.44005799293518066;0.659268856048584;0.13772368431091309;0.08708810806274414;0.07329869270324707;0.46146082878112793;2.384185791015625e-07;2.384185791015625e-07;2.0993168354034424;4.76837158203125e-07
1;48;24;2;-1;143.59190964698792;0.6022181510925293;0.43839263916015625;0.6540215015411377;0.136946439743042;0.08695244789123535;0.0734403133392334;0.4545300006866455;4.76837158203125e-07;2.384185791015625e-07;2.7910444736480713;7.152557373046875e-07
